dia,mes,ano,municipio,uf_x,areakm,uf_y,vazao,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms,chuva_final
2,4,1991,rio branco,,20.343714764224202,AC,549.89,,,,,,,,,,,,,,,,,
3,4,1991,rio branco,,20.343714764224202,AC,506.41,,,,,,,,,,,,,,,,,
4,4,1991,rio branco,,20.343714764224202,AC,465.46,,,,,,,,,,,,,,,,,
5,4,1991,rio branco,,20.343714764224202,AC,433.66,,,,,,,,,,,,,,,,,
6,4,1991,rio branco,,20.343714764224202,AC,415.87,,,,,,,,,,,,,,,,,
7,4,1991,rio branco,,20.343714764224202,AC,399.45,,,,,,,,,,,,,,,,,
8,4,1991,rio branco,,20.343714764224202,AC,385.43,,,,,,,,,,,,,,,,,
9,4,1991,rio branco,,20.343714764224202,AC,369.48,,,,,,,,,,,,,,,,,
10,4,1991,rio branco,,20.343714764224202,AC,353.8,,,,,,,,,,,,,,,,,
11,4,1991,rio branco,,20.343714764224202,AC,323.21,,,,,,,,,,,,,,,,,
12,4,1991,rio branco,,20.343714764224202,AC,301.46,,,,,,,,,,,,,,,,,
13,4,1991,rio branco,,20.343714764224202,AC,286.0,,,,,,,,,,,,,,,,,
14,4,1991,rio branco,,20.343714764224202,AC,263.41,,,,,,,,,,,,,,,,,
15,4,1991,rio branco,,20.343714764224202,AC,248.74,,,,,,,,,,,,,,,,,
16,4,1991,rio branco,,20.343714764224202,AC,240.63,,,,,,,,,,,,,,,,,
17,4,1991,rio branco,,20.343714764224202,AC,241.52,,,,,,,,,,,,,,,,,
18,4,1991,rio branco,,20.343714764224202,AC,257.87,,,,,,,,,,,,,,,,,
19,4,1991,rio branco,,20.343714764224202,AC,268.99,,,,,,,,,,,,,,,,,
20,4,1991,rio branco,,20.343714764224202,AC,259.71,,,,,,,,,,,,,,,,,
21,4,1991,rio branco,,20.343714764224202,AC,263.41,,,,,,,,,,,,,,,,,
22,4,1991,rio branco,,20.343714764224202,AC,283.14,,,,,,,,,,,,,,,,,
23,4,1991,rio branco,,20.343714764224202,AC,360.04,,,,,,,,,,,,,,,,,
24,4,1991,rio branco,,20.343714764224202,AC,356.92,,,,,,,,,,,,,,,,,
25,4,1991,rio branco,,20.343714764224202,AC,349.66,,,,,,,,,,,,,,,,,
26,4,1991,rio branco,,20.343714764224202,AC,326.23,,,,,,,,,,,,,,,,,
27,4,1991,rio branco,,20.343714764224202,AC,297.57,,,,,,,,,,,,,,,,,
28,4,1991,rio branco,,20.343714764224202,AC,268.99,,,,,,,,,,,,,,,,,
29,4,1991,rio branco,,20.343714764224202,AC,267.12,,,,,,,,,,,,,,,,,
30,4,1991,rio branco,,20.343714764224202,AC,277.45,,,,,,,,,,,,,,,,,
1,5,1991,rio branco,,20.343714764224202,AC,297.57,,,,,,,,,,,,,,,,,
2,5,1991,rio branco,,20.343714764224202,AC,299.51,,,,,,,,,,,,,,,,,
3,5,1991,rio branco,,20.343714764224202,AC,360.04,,,,,,,,,,,,,,,,,
4,5,1991,rio branco,,20.343714764224202,AC,370.54,,,,,,,,,,,,,,,,,
5,5,1991,rio branco,,20.343714764224202,AC,347.6,,,,,,,,,,,,,,,,,
6,5,1991,rio branco,,20.343714764224202,AC,320.21,,,,,,,,,,,,,,,,,
7,5,1991,rio branco,,20.343714764224202,AC,308.32,,,,,,,,,,,,,,,,,
8,5,1991,rio branco,,20.343714764224202,AC,323.21,,,,,,,,,,,,,,,,,
9,5,1991,rio branco,,20.343714764224202,AC,370.54,,,,,,,,,,,,,,,,,
10,5,1991,rio branco,,20.343714764224202,AC,405.99,,,,,,,,,,,,,,,,,
11,5,1991,rio branco,,20.343714764224202,AC,413.66,,,,,,,,,,,,,,,,,
12,5,1991,rio branco,,20.343714764224202,AC,369.48,,,,,,,,,,,,,,,,,
13,5,1991,rio branco,,20.343714764224202,AC,333.29,,,,,,,,,,,,,,,,,
14,5,1991,rio branco,,20.343714764224202,AC,299.51,,,,,,,,,,,,,,,,,
15,5,1991,rio branco,,20.343714764224202,AC,274.62,,,,,,,,,,,,,,,,,
16,5,1991,rio branco,,20.343714764224202,AC,250.55,,,,,,,,,,,,,,,,,
17,5,1991,rio branco,,20.343714764224202,AC,223.84,,,,,,,,,,,,,,,,,
18,5,1991,rio branco,,20.343714764224202,AC,209.22,,,,,,,,,,,,,,,,,
19,5,1991,rio branco,,20.343714764224202,AC,200.8,,,,,,,,,,,,,,,,,
20,5,1991,rio branco,,20.343714764224202,AC,194.16,,,,,,,,,,,,,,,,,
21,5,1991,rio branco,,20.343714764224202,AC,182.73,,,,,,,,,,,,,,,,,
22,5,1991,rio branco,,20.343714764224202,AC,174.74,,,,,,,,,,,,,,,,,
23,5,1991,rio branco,,20.343714764224202,AC,168.44,,,,,,,,,,,,,,,,,
24,5,1991,rio branco,,20.343714764224202,AC,172.37,,,,,,,,,,,,,,,,,
25,5,1991,rio branco,,20.343714764224202,AC,193.33,,,,,,,,,,,,,,,,,
26,5,1991,rio branco,,20.343714764224202,AC,218.64,,,,,,,,,,,,,,,,,
27,5,1991,rio branco,,20.343714764224202,AC,252.37,,,,,,,,,,,,,,,,,
28,5,1991,rio branco,,20.343714764224202,AC,278.39,,,,,,,,,,,,,,,,,
29,5,1991,rio branco,,20.343714764224202,AC,256.03,,,,,,,,,,,,,,,,,
30,5,1991,rio branco,,20.343714764224202,AC,246.02,,,,,,,,,,,,,,,,,
31,5,1991,rio branco,,20.343714764224202,AC,236.17,,,,,,,,,,,,,,,,,
1,6,1991,rio branco,,20.343714764224202,AC,215.2,,,,,,,,,,,,,,,,,
2,6,1991,rio branco,,20.343714764224202,AC,194.16,,,,,,,,,,,,,,,,,
3,6,1991,rio branco,,20.343714764224202,AC,177.92,,,,,,,,,,,,,,,,,
4,6,1991,rio branco,,20.343714764224202,AC,169.22,,,,,,,,,,,,,,,,,
5,6,1991,rio branco,,20.343714764224202,AC,163.0,,,,,,,,,,,,,,,,,
6,6,1991,rio branco,,20.343714764224202,AC,158.4,,,,,,,,,,,,,,,,,
7,6,1991,rio branco,,20.343714764224202,AC,150.08,,,,,,,,,,,,,,,,,
8,6,1991,rio branco,,20.343714764224202,AC,147.1,,,,,,,,,,,,,,,,,
9,6,1991,rio branco,,20.343714764224202,AC,141.94,,,,,,,,,,,,,,,,,
10,6,1991,rio branco,,20.343714764224202,AC,137.57,,,,,,,,,,,,,,,,,
11,6,1991,rio branco,,20.343714764224202,AC,139.02,,,,,,,,,,,,,,,,,
12,6,1991,rio branco,,20.343714764224202,AC,136.13,,,,,,,,,,,,,,,,,
13,6,1991,rio branco,,20.343714764224202,AC,134.69,,,,,,,,,,,,,,,,,
14,6,1991,rio branco,,20.343714764224202,AC,131.12,,,,,,,,,,,,,,,,,
15,6,1991,rio branco,,20.343714764224202,AC,128.29,,,,,,,,,,,,,,,,,
16,6,1991,rio branco,,20.343714764224202,AC,125.48,,,,,,,,,,,,,,,,,
17,6,1991,rio branco,,20.343714764224202,AC,119.94,,,,,,,,,,,,,,,,,
18,6,1991,rio branco,,20.343714764224202,AC,118.57,,,,,,,,,,,,,,,,,
19,6,1991,rio branco,,20.343714764224202,AC,116.52,,,,,,,,,,,,,,,,,
20,6,1991,rio branco,,20.343714764224202,AC,114.49,,,,,,,,,,,,,,,,,
21,6,1991,rio branco,,20.343714764224202,AC,119.25,,,,,,,,,,,,,,,,,
22,6,1991,rio branco,,20.343714764224202,AC,119.25,,,,,,,,,,,,,,,,,
23,6,1991,rio branco,,20.343714764224202,AC,117.88,,,,,,,,,,,,,,,,,
24,6,1991,rio branco,,20.343714764224202,AC,114.49,,,,,,,,,,,,,,,,,
25,6,1991,rio branco,,20.343714764224202,AC,109.8,,,,,,,,,,,,,,,,,
26,6,1991,rio branco,,20.343714764224202,AC,108.48,,,,,,,,,,,,,,,,,
27,6,1991,rio branco,,20.343714764224202,AC,106.5,,,,,,,,,,,,,,,,,
28,6,1991,rio branco,,20.343714764224202,AC,102.59,,,,,,,,,,,,,,,,,
29,6,1991,rio branco,,20.343714764224202,AC,101.3,,,,,,,,,,,,,,,,,
30,6,1991,rio branco,,20.343714764224202,AC,100.01,,,,,,,,,,,,,,,,,
1,7,1991,rio branco,,20.343714764224202,AC,97.46,,,,,,,,,,,,,,,,,
2,7,1991,rio branco,,20.343714764224202,AC,96.2,,,,,,,,,,,,,,,,,
3,7,1991,rio branco,,20.343714764224202,AC,94.94,,,,,,,,,,,,,,,,,
4,7,1991,rio branco,,20.343714764224202,AC,93.68,,,,,,,,,,,,,,,,,
5,7,1991,rio branco,,20.343714764224202,AC,91.19,,,,,,,,,,,,,,,,,
6,7,1991,rio branco,,20.343714764224202,AC,88.73,,,,,,,,,,,,,,,,,
7,7,1991,rio branco,,20.343714764224202,AC,87.51,,,,,,,,,,,,,,,,,
8,7,1991,rio branco,,20.343714764224202,AC,86.9,,,,,,,,,,,,,,,,,
