ano,mes,estacao,chuva,codigo_estacao,municipio,uf,areakm,estado,precipitacao_total_mm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
1991,9,771001,3.966666666666667,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1991,9,872000,1.0733333333333335,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,9,972000,5.680000000000001,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,9,1068000,2.8766666666666665,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1991,9,8050000,0.45,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,9,8051010,0.1,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,9,8052000,1.0,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1991,9,8150000,0.08333333333333333,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1991,9,8251001,0.5933333333333334,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1991,10,51002,,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1991,10,771001,5.419354838709677,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1991,10,872000,2.3096774193548386,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,10,972000,5.490322580645162,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,10,1068000,4.303225806451613,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1991,10,8050000,0.16451612903225804,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,10,8051010,0.0,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,10,8052000,1.7483870967741937,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1991,10,8150000,0.0,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1991,10,8251001,3.835483870967742,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1991,11,51002,1.5999999999999999,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1991,11,771001,8.8,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1991,11,872000,3.24,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,11,972000,4.526666666666667,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,11,1068000,4.753333333333333,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1991,11,8050000,,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,11,8051010,0.0,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,11,8052000,0.15,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1991,11,8150000,0.06666666666666667,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1991,11,8251001,0.58,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1991,12,51002,0.0,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1991,12,771001,6.548387096774194,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1991,12,872000,2.97741935483871,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,12,972000,5.606451612903225,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,12,1068000,5.054838709677419,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1991,12,8050000,0.8419354838709678,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,12,8051010,1.8258064516129033,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
