ano,mes,municipio,uf,chuva_final,vazao,areakm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
1991,1,boa vista,RR,0.0,961.4140967741936,21.611777880615215,,,,,,,,,,,,,,,,
1991,1,boca do acre,AM,0.2305030714656182,3409.175268817204,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,bom jesus das selvas,MA,7.661290322580646,16.81089247311828,27.71891452343747,,,,,,,,,,,,,,,,
1991,1,bonfim,RR,0.132258064516129,5.129632258064516,13.13162943798826,,,,,,,,,,,,,,,,
1991,1,borba,AM,0.2842361794148063,3937.8198641935487,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,braganca,PA,0.4006320235198733,11.631458487903227,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,brasileia,AC,2.1959229390681005,302.8809677419355,17.714445001641003,,,,,,,,,,,,,,,,
1991,1,brasnorte,MT,0.2930032872995485,644.9276903225806,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,buriti bravo,MA,4.235483870967742,1.758725806451613,4.515121645141597,,,,,,,,,,,,,,,,
1991,1,buritirana,MA,8.823333333333332,81.34932835690368,8.904801999206539,,,,,,,,,,,,,,,,
1991,1,cabixi,RO,5.787619577308121,73.17703620967742,0.7030016110815035,,,,,,,,,,,,,,,,
1991,1,caceres,MT,0.09707378847396235,798.6883838709678,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,cacoal,RO,49.87741935483872,1.1669878890775327,53.45824499700926,,,,,,,,,,,,,,,,
1991,1,cajari,MA,9.961290322580645,81.34932835690368,0.389106467529297,,,,,,,,,,,,,,,,
1991,1,calcoene,AP,34.377419354838715,1.8222661146953403,3.2742810056152347,,,,,,,,,,,,,,,,
1991,1,candeias do jamari,RO,6.230616815972998,332.0787677419355,47.77474136057956,,,,,,,,,,,,,,,,
1991,1,candido mendes,MA,15.009677419354839,94.37612903225806,47.03094113903675,,,,,,,,,,,,,,,,
1991,1,cantanhede,MA,14.137096774193548,144.03931612903224,1.61756093371582,,,,,,,,,,,,,,,,
1991,1,capitao poco,PA,0.26671777509088335,69.1053935483871,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,caracarai,RR,2.761290322580645,2018.2802741935488,13.466789241760216,,,,,,,,,,,,,,,,
1991,1,carauari,AM,0.2842361794148063,6742.762258064517,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,careiro da varzea,AM,0.2842361794148063,10201.553225806452,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,caroebe,RR,2.5796610169491525,995.7362602139664,14.269987543334953,,,,,,,,,,,,,,,,
1991,1,carolina,MA,9.380645161290325,34.17367307692307,19.52181389477541,,,,,,,,,,,,,,,,
1991,1,caxias,MA,0.027106821696621448,69.18428387096775,15.84611932289217,,,,,,,,,,,,,,,,
1991,1,cerejeiras,RO,11.212903225806452,2825.384610303814,24.14334199713005,,,,,,,,,,,,,,,,
1991,1,chapadinha,MA,9.296774193548387,81.34932835690368,2.726281656066897,,,,,,,,,,,,,,,,
1991,1,coari,AM,0.3184354699225504,88082.27677419355,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,cocalinho,MT,0.2930032872995485,1009.800770967742,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,codo,MA,5.911827956989247,57.2747,16.912009697570817,,,,,,,,,,,,,,,,
1991,1,colinas,MA,2.903225806451613,58.336383870967744,5.700691504211407,,,,,,,,,,,,,,,,
1991,1,colorado do oeste,RO,10.412903225806453,2825.384610303814,36.804109988341565,,,,,,,,,,,,,,,,
